Arkansas,ARK
Kennesaw State,KENN
Miami (OH),M-OH
Indiana,IU
Tulsa,TLSA
South Florida,USF
SMU,SMU
UCF,UCF
Navy,NAVY
East Carolina,ECU
Temple,TEM
Tulane,TULN
NC State,NCST
Old Dominion,ODU
Campbell,CAM
Memphis,MEM
BYU,BYU
Cincinnati,CIN
Houston,HOU
UTSA,UTSA
Texas Tech,TTU
Kansas,KU
Rice,RICE
Mississippi State,MSST
Arkansas State,ARST
North Texas,UNT
North Alabama,UNA
Delaware,DEL
Air Force,AFA
Notre Dame,ND
Army,ARMY
Lamar,LAM
Maryland,MD
TCU,TCU
Howard,HOW
Florida,FLA
Louisville,LOU
Duke,DUKE
Lafayette,LAF
Rutgers,RUTG
UMass,MASS
Alcorn State,ALCN
Kansas State,KSU
Southern Miss,USM
Wyoming,WYO
Northern Illinois,NIU
Jacksonville State,JVST
Ole Miss,MISS
South Carolina State,SCST
Florida Atlantic,FAU
Georgia Tech,GATECH
Virginia Tech,VT
Maine,ME
Florida State,FSU
Clemson,CLEM
Wake Forest,WAKE
UConn,CONN
Syracuse,SYR
Furman,FUR
Louisiana Tech,LT
Boston College,BC
Miami,MIA
South Carolina,SC
Northwestern,NU
North Carolina A&T,NCAT
Virginia,UVA
North Carolina,UNC
Pittsburgh,PITT
Duquesne,DUQ
LSU,LSU
Louisiana,UL
Western Carolina,WCU
Georgia,UGA
James Madison,JMU
Kentucky,UK
Bethune-Cookman,BCU
Texas A&M,TA&M
Middle Tennessee,MTSU
Charleston Southern,CHSO
Florida A&M,FAMU
Appalachian State,APP
Georgia State,GAST
West Virginia,WVU
Tennessee,TENN
Western Michigan,WMU
Rhode Island,URI
Purdue,PUR
Wagner,WAG
Richmond,RICH
Illinois,ILL
Coastal Carolina,CCU
Wofford,WOF
Liberty,LIB
VMI,VMI
Vanderbilt,VAN
Albany,ALB
Texas State,TXST
Iowa State,ISU
Oklahoma State,OKST
Oklahoma,OU
Texas,TEX
Southeast Missouri State,SEMO
Iowa,IOWA
Ohio,OHIO
Baylor,BAY
Tennessee Tech,TNTC
South Dakota,SDAK
Missouri,MIZ
UTEP,UTEP
Kent State,KENT
Nebraska,NEB
Central Michigan,CMU
Arizona State,ASU
Arkansas-Pine Bluff,UAPB
Colorado,COLO
Tarleton,TAR
UL Monroe,ULM
Alabama,ALA
Murray State,MUR
Towson,TOW
Chattanooga,UTC
Wisconsin,WISC
Minnesota,MINN
Michigan State,MSU
Michigan,MICH
Idaho,IDHO
Western Kentucky,WKU
Penn State,PSU
Ohio State,OSU
South Dakota State,SDST
Nevada,NEV
Buffalo,BUFF
Charlotte,CLT
Akron,AKR
Washington,WASH
Colorado State,CSU
Hawai'i,HAW
New Mexico State,NMSU
Western Illinois,WIU
North Dakota,UND
Georgia Southern,GASO
Southern Illinois,SIU
Toledo,TOL
Auburn,AUB
Indiana State,INST
Illinois State,ILST
Washington State,WSU
William & Mary,W&M
UAB,UAB
Florida International,FIU
SE Louisiana,SELA
Bryant,BRY
Stephen F. Austin,SFA
South Alabama,USA
Tennessee State,TNST
Texas Southern,TXSO
UNLV,UNLV
USC,USC
McNeese,MCN
Alabama A&M,AAMU
New Mexico,UNM
Boise State,BOIS
Austin Peay,APSU
Troy,TROY
Villanova,VILL
Colgate,COLG
Oregon,ORE
Utah State,USU
Utah Tech,UTU
Stanford,STAN
Gardner-Webb,GWEB
San José State,SJSU
Marshall,MRSH
California,CAL
Central Connecticut,CCSU
Fresno State,FRES
Ball State,BALL
Stony Brook,STBK
Eastern Michigan,EMU
St. Francis (PA),SFPA
Bowling Green,BGSU
UCLA,UCLA
Eastern Kentucky,EKU
Holy Cross,HC
Bucknell,BUCK
Long Island University,LIU
Robert Morris,RMU
Eastern Illinois,EIU
Fordham,FOR
San Diego State,SDSU
New Hampshire,UNH
Northern Iowa,UNI
Oregon State,ORST
UT Martin,UTM
Sacramento State,SAC
Cal Poly,CP
Incarnate Word,UIW
Arizona,ARIZ
Idaho State,IDST
Utah,UTAH
Portland State,PRST
Weber State,WEB
Northern Colorado,UNCO
Northern Arizona,NAU
North Dakota State,NDSU
UC Davis,UCD
Eastern Washington,EWU
Montana State,MTST
Alabama State,ALST
Southern Utah,SUU
Missouri State,MOST
Mercer,MER
Samford,SAM
Youngstown State,YSU
Southern,SOU
East Tennessee State,ETSU
Abilene Christian,ACU
Central Arkansas,CARK
Sam Houston,SHSU
Elon,ELON
The Citadel,CIT
Grambling,GRAM
Morgan State,MORG
Norfolk State,NORF
Nicholls,NICH
Northwestern State,NWST
Houston Christian,HCU