Northern Illinois,N Illinois
San Jos\xc3\xa9 State,San Jos\xc3\xa9 St
Coastal Carolina,Coastal Car
Michigan State,Michigan St
Miami (OH),Miami OH
Washington State,Washington St
Georgia State,Georgia St
Mississippi State,Mississippi St
Boise State,Boise St
Texas State,Texas St
Pittsburgh,Pitt
Arkansas State,Arkansas St
Middle Tennessee,MTSU
Oklahoma State,Oklahoma St
Florida International,FIU
Colorado State,Colorado St
Eastern Michigan,E Michigan
Western Michigan,W Michigan
Appalachian State,Appalachian St
Florida State,Florida St
Kansas State,Kansas St
Georgia Southern,Georgia So
New Mexico State,New Mexico St
Oregon State,Oregon St
Arizona State,Arizona St
Florida Atlantic,FAU
Western Kentucky,Western KY
Fresno State,Fresno St
Central Michigan,C Michigan
San Diego State,San Diego St